(2828,71.2)
(43399,102.60000000000001)
(76942,33.400000000000006)
(51857,152.0)
(79453,187.20000000000002)
(89825,122.4)
(68813,228.8)
(6611,135.2)
(10117,106.8)
(22620,86.0)
(58353,72.8)
(86251,168.4)
(48657,42.2)
(94803,27.6)
(58588,263.2)
(17789,169.8)
(17040,285.2)
(4538,188.60000000000002)
(84507,202.60000000000002)
(78506,48.6)
(9311,207.0)
(79590,219.20000000000002)
(69386,64.0)
(2558,95.4)
(30715,193.2)
(56267,283.4)
(75723,138.2)
(65577,82.60000000000001)
(91060,79.60000000000001)
(47885,182.2)
(25573,238.60000000000002)
(47364,92.80000000000001)
(80169,169.60000000000002)
(6831,169.6)
(52146,117.8)
(178,110.00000000000001)
(749,180.0)
(81823,195.60000000000002)
(1472,226.2)
(65162,240.8)
(47539,330.0)
(70076,81.8)
(70753,63.20000000000001)
(8736,54.60000000000001)
(52210,44.800000000000004)
(27380,170.20000000000002)
(5919,284.40000000000003)
(20774,160.8)
(10065,69.80000000000001)
(39624,314.00000000000006)
(50432,139.40000000000003)
(20349,180.8)
(53464,201.40000000000003)
(87526,249.8)
(60215,238.8)
(12526,181.6)
(92249,64.0)
(74283,180.60000000000002)
(73116,23.800000000000004)
(85421,116.0)
(3465,114.0)
(18991,45.800000000000004)
(88675,235.8)
(43335,293.0)
(35668,49.6)
(7902,29.400000000000002)
(12454,232.39999999999998)
(16841,45.0)
(83195,351.6)
(70876,21.2)
(4422,84.00000000000001)
(29241,139.2)
(9151,182.8)
(40763,250.20000000000005)
(3050,5.6000000000000005)
(16832,189.0)
(40642,95.2)
(65427,159.60000000000002)
(73912,103.4)
(49384,295.6)
(35132,125.4)
(56735,112.80000000000001)
(82215,121.80000000000001)
(73420,203.60000000000002)
(34805,170.4)
(94898,133.6)
(91710,258.40000000000003)
(92791,139.60000000000002)
(413,211.60000000000002)
(39912,131.40000000000003)
(36838,144.20000000000002)
(32801,103.2)
(13963,116.20000000000002)
(10427,125.0)
(30643,231.60000000000002)
(61571,70.0)
(94575,142.20000000000002)
(24851,224.8)
(74896,215.2)
(89438,183.20000000000002)
(66747,123.8)
(93864,420.6000000000001)
(25962,216.80000000000004)
(6321,28.2)
(18764,48.800000000000004)
(19082,116.0)
(44224,192.40000000000003)
(73664,181.39999999999998)
(47340,204.4)
(78049,54.0)
(34333,184.0)
(6192,111.80000000000001)
(6097,10.200000000000001)
(60002,60.400000000000006)
(99538,26.000000000000004)
(94249,332.4)
(71606,76.0)
(66875,352.80000000000007)
(73172,258.6)
(13251,194.20000000000002)
(30449,200.2)
(93701,269.40000000000003)
(65126,311.6)
(84297,216.20000000000002)
(69184,264.8)
(27658,134.2)
(86413,147.0)
(4631,262.0)
(58049,130.20000000000002)
(50829,141.60000000000002)
(15543,274.8)
(46264,342.00000000000006)
(72506,84.80000000000001)
(45991,44.60000000000001)
(93462,181.20000000000002)
(53455,123.6)
(19820,312.6)
(57453,128.0)
(86598,202.8)
(16786,217.8)
(18122,215.8)
(8413,381.0)
(66031,235.4)
(62736,125.0)
(10137,80.0)
(41166,68.2)
(69908,37.400000000000006)
(57488,182.4)
(58843,97.2)
(14014,167.8)
(70629,42.400000000000006)
(10768,95.2)
(36474,16.400000000000002)
(73370,239.60000000000002)
(83465,191.59999999999997)
(45229,105.80000000000001)
(36128,185.6)
(62587,83.0)
(78603,140.8)
(70591,99.80000000000001)
(94980,107.0)
(96030,122.80000000000001)
(98733,109.60000000000001)
(4222,221.6)
(47184,175.4)
(99565,295.8)
(7030,72.2)
(84684,33.6)
(84781,278.0)
(12423,209.8)
(71905,148.2)
(54380,97.6)
(64550,140.0)
(7678,36.2)
(50667,20.2)
(90157,208.20000000000005)
(72319,170.60000000000002)
(67140,22.6)
(74641,75.6)
(53338,67.60000000000001)
(10924,196.20000000000002)
(53644,243.80000000000004)
(38366,323.20000000000005)
(70153,30.0)
(37790,119.8)
(42648,199.0)
(59329,131.6)
(91808,171.60000000000002)
(4895,294.59999999999997)
(22639,214.8)
(35097,278.6)
(86136,118.39999999999999)
(72052,262.8)
(35525,75.6)
(21597,77.60000000000001)
(30410,166.00000000000003)
(62286,347.0)
(48868,89.20000000000002)
(94672,144.6)
(90311,126.4)
(93367,257.6)
(57967,74.6)
(73154,119.20000000000002)
(89278,23.200000000000003)
(7766,276.8)
(20758,157.4)
(86909,203.20000000000002)
(89692,20.0)
(38142,262.4)
(32090,212.0)
(1496,230.40000000000003)
(50113,347.2000000000001)
(32810,270.20000000000005)
(86130,219.20000000000002)
(44846,93.4)
(85403,192.00000000000003)
(50517,42.400000000000006)
(66497,201.0)
(59831,99.0)
(63058,213.20000000000002)
(37439,60.6)
(57949,474.20000000000005)
(37176,215.60000000000002)
(23768,141.0)
(31697,129.6)
(34636,169.4)
(78988,65.8)
(83773,113.0)
(75091,180.0)
(87225,189.0)
(73752,74.6)
(65971,40.400000000000006)
(94500,135.20000000000002)
(19842,183.0)
(66011,120.2)
(12009,364.20000000000005)
(71091,111.6)
(89735,328.40000000000003)
(21720,217.20000000000005)
(69342,103.2)
(67322,220.00000000000003)
(42884,197.6)
(25614,87.0)
(90102,163.0)
(16339,324.0)
(52342,125.80000000000001)
(89614,180.2)
(77215,203.79999999999998)
(46286,173.20000000000002)
(46411,80.60000000000001)
(93743,25.400000000000002)
(15251,148.0)
(84505,28.400000000000002)
(72395,96.0)
(43032,128.8)
(12919,88.4)
(44943,351.2)
(70869,121.6)
(30784,92.4)
(54492,90.0)
(86217,50.2)
(39024,163.8)
(4352,132.8)
(31831,23.400000000000002)
(36014,262.6)
(34326,193.40000000000003)
(66574,112.20000000000002)
(87445,222.40000000000003)
(35615,125.4)
(18328,210.79999999999998)
(20295,137.79999999999998)
(990,161.20000000000002)
(24235,253.20000000000002)
(63315,253.6)
(27359,219.2)
(13394,145.00000000000003)
(37655,309.20000000000005)
(58557,284.59999999999997)
(89687,240.2)
(15136,63.0)
(84440,54.4)
(85641,261.4)
(40495,244.39999999999998)
(35796,107.0)
(56364,101.80000000000001)
(38520,33.2)
(31321,163.4)
(5711,269.0)
(50751,302.2)
(73091,190.0)
(83007,324.0)
(33022,198.8)
(77686,65.80000000000001)
(46480,72.80000000000001)
(21469,199.00000000000003)
(93741,137.0)
(27799,100.6)
(67001,274.2)
(64024,334.2)
(74203,509.80000000000007)
(54092,119.19999999999999)
(93086,329.4)
(36063,112.80000000000001)
(92511,86.4)
(6471,99.2)
(81254,17.400000000000002)
(43791,233.60000000000002)
(86442,229.99999999999997)
(73815,164.4)
(29388,111.4)
(10135,172.20000000000002)
(35857,161.8)
(32430,19.0)
(76292,160.0)
(66635,79.4)
(24332,148.8)
(39893,236.99999999999997)
(78858,259.8)
(84073,286.59999999999997)
(81272,407.6)
(99099,125.80000000000001)
(24936,37.2)
(36234,204.60000000000002)
(85618,217.8)
(33103,188.2)
(32445,190.4)
(49917,29.4)
(53851,238.60000000000002)
(49344,69.4)
(16180,409.40000000000003)
(24189,216.0)
(84815,162.20000000000002)
(50492,258.40000000000003)
(86271,286.8)
(31404,303.40000000000003)
(57345,110.8)
(82206,147.2)
(57750,117.20000000000002)
(59727,182.79999999999998)
(52733,76.80000000000001)
(42602,163.6)
(61544,100.0)
(96214,255.60000000000005)
(74737,61.599999999999994)
(48666,80.80000000000001)
(82529,130.4)
(86660,201.40000000000003)
(77505,133.4)
(95747,195.6)
(4361,99.60000000000001)
(78676,212.20000000000002)
(42183,117.4)
(18582,125.60000000000001)
(85012,97.6)
(70173,189.2)
(94201,362.4)
(81456,90.4)
(19530,135.8)
(29737,395.2)
(37343,316.6)
(28943,52.400000000000006)
(12814,179.8)
(851,168.40000000000003)
(35002,172.40000000000003)
(67520,205.0)
(60619,149.8)
(60259,213.40000000000003)
(6000,132.2)
(56300,197.4)
(64998,118.8)
(76050,115.0)
(29559,104.2)
(82813,22.8)
(36661,59.400000000000006)
(69443,176.79999999999998)
(47562,69.2)
(18166,69.0)
(42473,85.8)
(74814,142.20000000000002)
(5528,243.8)
(2406,63.00000000000001)
(24730,88.2)
(23546,265.6)
(89700,242.4)
(25205,85.0)
(32841,336.00000000000006)
(34775,72.60000000000001)
(10795,177.20000000000002)
(41438,215.00000000000003)
(94524,137.60000000000002)
(85896,198.79999999999998)
(66422,183.8)
(30645,51.80000000000001)
(17729,29.0)
(71857,27.800000000000004)
(98254,47.2)
(10290,130.2)
(33897,138.20000000000002)
(26990,90.8)
(70780,110.60000000000001)
(31581,31.8)
(39859,231.6)
(17406,110.0)
(92795,278.40000000000003)
(70344,309.6)
(13796,133.2)
(97415,152.0)
(27629,92.80000000000001)
(55570,239.0)
(68657,147.8)
(38047,234.2)
(48424,234.40000000000003)
(88332,87.2)
(1975,33.4)
(14229,120.80000000000001)
(46691,403.8)
(51288,68.0)
(67834,171.0)
(77691,82.6)
(34605,258.6)
(20578,105.4)
(76966,75.0)
(31019,284.6)
(69182,153.8)
(82666,295.6)
(4174,224.0)
(79044,76.6)
(1726,234.39999999999998)
(76924,176.60000000000002)
(97286,265.8)
(99244,9.600000000000001)
(17273,133.20000000000002)
(477,263.2)
(8873,109.0)
(56212,0.2)
(33859,110.20000000000002)
(9647,219.0)
